date,open,high,low,close,up_down,up_down_ratio,ah_v,r_v,total_v,final_price,unfilled_v
2010/01/04,8203,8211,8101,8166,-35,-0.43,0,84131,84131,8167.0,50760
2010/01/05,8212,8260,8125,8178,11,0.13,0,108012,108012,8178.0,51769
2010/01/06,8197,8336,8179,8320,142,1.74,0,120081,120081,8321.0,54934
2010/01/07,8335,8355,8230,8259,-62,-0.75,0,120555,120555,8260.0,54734
2010/01/08,8287,8297,8183,8278,18,0.22,0,104771,104771,8277.0,55794
2010/01/11,8278,8353,8251,8325,48,0.58,0,88096,88096,8322.0,56822
2010/01/12,8318,8337,8246,8308,-14,-0.17,0,99739,99739,8309.0,56634
2010/01/13,8259,8275,8191,8215,-94,-1.13,0,108932,108932,8215.0,56891
2010/01/14,8246,8328,8236,8301,86,1.05,0,81125,81125,8299.0,56371
2010/01/15,8310,8385,8307,8369,70,0.84,0,96104,96104,8367.0,54424
2010/01/18,8300,8383,8286,8353,-14,-0.17,0,78516,78516,8351.0,49011
2010/01/19,8370,8382,8230,8270,-81,-0.97,0,121248,121248,8269.0,35839
2010/01/20,8306,8312,8198,8215,-54,-0.65,0,67857,67857,,25310
2010/01/21,8185,8213,8112,8134,-51,-0.006269978000000001,0,117077,117077,8134.0,53155
2010/01/22,8019,8023,7884,7897,-237,-2.91,0,126740,126740,7897.0,57449
2010/01/25,7822,7912,7802,7852,-45,-0.57,0,87477,87477,7852.0,59162
2010/01/26,7832,7886,7520,7556,-296,-3.77,0,182130,182130,7558.0,54769
2010/01/27,7574,7633,7509,7534,-24,-0.32,0,116963,116963,7535.0,56155
2010/01/28,7579,7745,7555,7699,164,2.18,0,117356,117356,7697.0,53073
2010/01/29,7552,7633,7442,7580,-117,-1.52,0,148605,148605,7581.0,53861
2010/02/01,7569,7634,7442,7513,-68,-0.9,0,133007,133007,7510.0,58055
2010/02/02,7580,7603,7346,7371,-139,-1.85,0,143485,143485,7374.0,59631
2010/02/03,7456,7528,7390,7501,127,1.72,0,139624,139624,7501.0,57371
2010/02/04,7503,7538,7460,7507,6,0.08,0,90229,90229,7505.0,54743
2010/02/05,7300,7321,7130,7201,-304,-4.05,0,127511,127511,7202.0,54340
2010/02/06,7229,7236,7056,7155,-47,-0.65,0,102594,102594,7155.0,55080
2010/02/08,7155,7235,7125,7160,5,0.07,0,99368,99368,7162.0,48399
2010/02/09,7171,7344,7151,7316,154,2.15,0,115841,115841,7316.0,37004
2010/02/10,7350,7479,7345,7419,103,1.41,0,117786,117786,7414.0,27576
2010/02/22,7708,7708,7553,7558,144,1.94,0,49687,49687,,20726
2010/02/23,7534,7552,7451,7535,1,0.000132714,0,90651,90651,7537.0,45011
2010/02/24,7468,7545,7458,7480,-57,-0.76,0,83099,83099,7481.0,47018
2010/02/25,7505,7522,7335,7368,-113,-1.51,0,124223,124223,7368.0,51638
2010/02/26,7378,7434,7341,7383,15,0.2,0,91371,91371,7383.0,50532
2010/03/01,7413,7605,7395,7575,192,2.6,0,118336,118336,7571.0,52094
2010/03/02,7595,7649,7569,7601,30,0.4,0,85761,85761,7598.0,51293
2010/03/03,7596,7664,7578,7611,13,0.17,0,90229,90229,7612.0,51406
2010/03/04,7622,7639,7463,7526,-86,-1.13,0,117200,117200,7527.0,51817
2010/03/05,7603,7692,7558,7659,132,1.75,0,117270,117270,7656.0,50799
2010/03/08,7729,7758,7686,7755,99,1.29,0,78128,78128,7756.0,52404
2010/03/09,7771,7774,7724,7764,8,0.1,0,57308,57308,7764.0,52333
2010/03/10,7771,7792,7703,7769,5,0.06,0,80818,80818,7769.0,52470
2010/03/11,7800,7808,7731,7757,-12,-0.15,0,84883,84883,7758.0,53340
2010/03/12,7785,7788,7711,7754,-4,-0.05,0,66469,66469,7752.0,50641
2010/03/15,7756,7758,7631,7655,-97,-1.25,0,111429,111429,7655.0,43617
2010/03/16,7651,7707,7642,7703,48,0.63,0,61394,61394,7704.0,34762
2010/03/17,7750,7844,7745,7842,138,1.79,0,63598,63598,,28298
2010/03/18,7837,7922,7818,7850,13,0.001656051,0,93097,93097,7849.0,39309
2010/03/19,7850,7884,7826,7867,18,0.23,0,66434,66434,7867.0,41304
2010/03/22,7830,7840,7745,7802,-65,-0.83,0,92460,92460,7803.0,41969
2010/03/23,7850,7863,7756,7804,1,0.01,0,90596,90596,7805.0,42008
2010/03/24,7865,7876,7804,7815,10,0.13,0,84035,84035,7814.0,43787
2010/03/25,7792,7858,7716,7803,-11,-0.14,0,129037,129037,7809.0,44200
2010/03/26,7809,7917,7724,7886,77,0.99,0,138132,138132,7883.0,41602
2010/03/29,7912,7966,7885,7957,74,0.94,0,80247,80247,7956.0,42555
2010/03/30,7977,7991,7940,7961,5,0.06,0,62687,62687,7959.0,43555
2010/03/31,7946,7970,7895,7906,-53,-0.67,0,74622,74622,7908.0,43885
2010/04/01,7940,8041,7926,8025,117,1.48,0,95385,95385,8024.0,46080
2010/04/02,8024,8047,8015,8039,15,0.19,0,40155,40155,8037.0,44134
2010/04/06,8071,8142,8062,8096,59,0.73,0,87309,87309,8095.0,49165
2010/04/07,8125,8140,8095,8126,31,0.38,0,62123,62123,8124.0,50819
2010/04/08,8110,8170,8045,8081,-43,-0.53,0,127263,127263,8081.0,50411
2010/04/09,8077,8105,8046,8101,20,0.25,0,71514,71514,8099.0,51822
2010/04/12,8158,8168,8086,8126,27,0.33,0,79826,79826,8126.0,53729
2010/04/13,8086,8119,8013,8019,-107,-1.32,0,118213,118213,8019.0,53074
2010/04/14,8065,8114,8038,8112,93,1.16,0,79410,79410,8111.0,52814
2010/04/15,8153,8196,8130,8158,47,0.58,0,82591,82591,8162.0,52236
2010/04/16,8147,8155,8070,8102,-60,-0.74,0,97706,97706,8102.0,48574
2010/04/19,8002,8033,7821,7822,-280,-3.46,0,132915,132915,7825.0,44857
2010/04/20,7880,7911,7825,7876,51,0.65,0,90356,90356,7877.0,36408
2010/04/21,7950,7998,7923,7980,103,1.31,0,75433,75433,,24967
2010/04/22,7905,7953,7843,7925,20,0.002523659,0,116094,116094,7923.0,47301
2010/04/23,7951,7983,7937,7958,35,0.44,0,79346,79346,7959.0,46124
2010/04/26,8077,8162,8070,8148,189,2.37,0,87141,87141,8146.0,47526
2010/04/27,8148,8152,8109,8130,-16,-0.2,0,60876,60876,8129.0,47546
2010/04/28,7961,8059,7920,8035,-94,-1.16,0,116469,116469,8036.0,48627
2010/04/29,8036,8065,8011,8043,7,0.09,0,70064,70064,8043.0,45233
2010/04/30,8128,8152,7966,7989,-54,-0.67,0,131598,131598,7989.0,46537
2010/05/03,7925,8001,7876,7931,-58,-0.73,0,116275,116275,7932.0,47033
2010/05/04,7968,7982,7848,7880,-52,-0.66,0,129308,129308,7881.0,47587
2010/05/05,7690,7750,7649,7657,-224,-2.84,0,139679,139679,7655.0,48620
2010/05/06,7643,7669,7512,7579,-76,-0.99,0,128579,128579,7578.0,47751
2010/05/07,7352,7547,7351,7502,-76,-1.0,0,157944,157944,7504.0,49835
2010/05/10,7564,7638,7531,7637,133,1.77,0,104819,104819,7635.0,48880
2010/05/11,7570,7697,7555,7568,-67,-0.88,0,137129,137129,7570.0,49791
2010/05/12,7630,7658,7541,7587,17,0.22,0,125000,125000,7586.0,50657
2010/05/13,7698,7777,7660,7761,175,2.31,0,118535,118535,7763.0,48316
2010/05/14,7712,7766,7702,7760,-3,-0.04,0,83064,83064,7756.0,45154
2010/05/17,7680,7682,7555,7602,-154,-1.99,0,132831,132831,7602.0,40344
2010/05/18,7610,7640,7576,7619,17,0.22,0,92214,92214,7616.0,30843
2010/05/19,7518,7587,7468,7576,-40,-0.53,0,80404,80404,,22209
2010/05/20,7509,7514,7356,7357,-152,-0.020660595,0,129922,129922,7364.0,52890
2010/05/21,7164,7247,7112,7209,-155,-2.1,0,121989,121989,7206.0,54950
2010/05/24,7224,7319,7214,7274,68,0.94,0,100810,100810,7274.0,54740
2010/05/25,7188,7189,7006,7052,-222,-3.05,0,149343,149343,7052.0,56762
2010/05/26,7122,7154,7045,7122,70,0.99,0,128300,128300,7123.0,55816
2010/05/27,7103,7234,7056,7202,79,1.11,0,133780,133780,7200.0,53925
2010/05/28,7289,7328,7221,7280,80,1.11,0,127565,127565,7277.0,52872
2010/05/31,7302,7333,7255,7325,48,0.66,0,81072,81072,7325.0,53281
2010/06/01,7283,7321,7220,7244,-81,-1.11,0,131341,131341,7243.0,54879
2010/06/02,7193,7282,7101,7140,-103,-1.42,0,146272,146272,7140.0,59459
2010/06/03,7253,7341,7252,7338,198,2.77,0,110634,110634,7338.0,60126
2010/06/04,7338,7348,7305,7321,-17,-0.23,0,62707,62707,7318.0,59158
